start station name,start station latitude,start station longitude
E 45 St & 3 Ave,40.75255434,-73.97282625
Court St & Nelson St,40.6763947,-73.99869893
Park Ave & E 124 St,40.8045555,-73.9396861
Plaza St West & Flatbush Ave,40.6750207,-73.97111473
Lafayette Ave & St James Pl,40.68851534,-73.9647628
Broadway & 12 St,40.7668,-73.9347774
E 58 St & 3 Ave,40.76095756,-73.96724467
Avenue D & E 8 St,40.72368361,-73.97574813
Broadway & W 41 St,40.75513557,-73.98658032
W 116 St & Broadway,40.8082,-73.9641
W 52 St & 11 Ave,40.76727216,-73.99392888
5 Ave & 3 St,40.6728155,-73.98352355
Graham Ave & Grand St,40.711863,-73.944024
1 Ave & E 68 St,40.76500525,-73.95818491
W 18 St & 9 Ave,40.74353373,-74.00367558
W 70 St & Amsterdam Ave,40.77748046,-73.98288594
St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
E 59 St & Madison Ave,40.76350532,-73.97109243
W 18 St & 6 Ave,40.73971301,-73.99456405
Macon St & Nostrand Ave,40.68098339,-73.95004798
Meserole Ave & Manhattan Ave,40.72708584,-73.95299117
Leonard St & Boerum St,40.70583339,-73.94644578
E 91 St & Park Ave,40.7835016,-73.955327
E 2 St & 2 Ave,40.72502876,-73.99069656
E 58 St & Madison Ave,40.76302594,-73.97209525
E 84 St & Park Ave,40.77862688,-73.95772073
Avenue D & E 3 St,40.72082834,-73.97793172
Pearl St & Hanover Square,40.7047177,-74.00926027
E 88 St & 1 Ave,40.778301,-73.9488134
E 20 St & FDR Drive,40.73314259,-73.97573881
Central Park West & W 72 St,40.77579377,-73.97620574
3 Ave & 14 St,40.6685455,-73.99333264
1 Ave & E 62 St,40.7612274,-73.96094022
Boerum St & Broadway,40.70538077,-73.94976519
Union St & Bedford Ave,40.6691783,-73.9554162
3 Ave & E 95 St,40.7845968,-73.94968539
E 6 St & Avenue D,40.72228087,-73.97668709
1 Ave & E 30 St,40.74144387,-73.97536082
Allen St & Stanton St,40.722055,-73.989111
W 35 St & Dyer Ave,40.75469175,-73.99740189
6 Ave & Canal St,40.72243797,-74.00566443
E 91 St & 2 Ave,40.7811223,-73.94965589
28 Ave & 35 St,40.7671,-73.9169858
Myrtle Ave & Lewis Ave,40.69681963,-73.93756926
36 Ave & 10 St,40.7614376,-73.9411265
3 Ave & Carroll St,40.677027,-73.9865
35 Ave & 10 St,40.76315482,-73.9398551
11 St & 35 Ave,40.7627442,-73.9391141
Bus Slip & State St,40.701907,-74.013942
10 St & 5 Ave,40.6686273,-73.98700053
W 47 St & 10 Ave,40.76269882,-73.99301222
St. Nicholas Ave & W 126 St,40.8114323,-73.9518776
31 Ave & Steinway St,40.7612939,-73.91691685
21 St & Hoyt Ave S,40.774645,-73.923706
Park Ave & Marcus Garvey Blvd,40.698617,-73.941342
Cadman Plaza E & Johnson St,40.69531728,-73.99015725
2 Ave & E 72 St,40.76876203,-73.95840794
E 102 St & 1 Ave,40.7869946,-73.94164802
Carlton Ave & Dean St,40.6809741,-73.9710097
Pioneer St & Van Brunt St,40.679043,-74.011169
Carlton Ave & Park Ave,40.69580705,-73.97355569
Columbia St & Degraw St,40.6859296,-74.00242364
Devoe St & Lorimer St,40.71335226,-73.94910336
E 25 St & 1 Ave,40.7381765,-73.97738662
W 11 St & 6 Ave,40.73532427,-73.99800419
Steinway St & 23 Ave,40.7713937,-73.9077436
24 Ave & 26 St,40.774591,-73.918544
Washington Pl & Broadway,40.72903917,-73.99404649
Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
South St & Whitehall St,40.70122128,-74.01234218
